CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50038,קרמיקה ריאן בעמ,109,גבעה הצרפתית ת.ד 49488,9149401,הגבעה הצרפתית ת.ד. 49488,"מייל תמ""ש",ירושלים
50643,היבואן י.ש. בעמ,110,הפלס 5,8489205,הפלס 5,אבי,באר שבע
50351,צ. מחסני קרמיקה בעמק בעמ(לא פעיל),109,המעפילים 4,NULL,המעפילים 4 עיר גנים,NULL,קריית אתא
50055,שיש אלוני בעמ,113,ת.ד 33,6099000,המחשב 1,שחר,שפיים
50654,ש. קמחי בעמ,109,הפלס 24,NULL,הפלס 9,גבי קמחי,באר שבע
50512,עיצוב הבית-דני,117,החריש 20,NULL,החריש 20,קשר,עמק חפר
50118,גליל קרמיקה,103,פלג 9,4285000,הפלג 9,מייל גיול,בארותיים
50020,אביטל דיזיין,110,דרך בן צבי 41,NULL,יצחק בן צבי 41,NULL,ראשון לציון
50473,עוז מחסני הקרמיקה מקלחונים,103,NULL,NULL,NULL,NULL,NULL
50012,א.ס ריצופים בעמ,103,משה אביב 14,6037136,משה אביב 14,גיול חובות,אור יהודה
50437,יעקב מזרחי,117,ההגנה 47,NULL,ההגנה 47,NULL,"ת""א"
50570,מ.ב חברה לבנין והנדסה בעמ {אורי אביב},107,ת.ד 22706,NULL,אבן גבירול 65,NULL,"ת""א"
50056,מולטי ריטייל גרופ בעמ - ירושלים-תלפיות סניף 49,123,גליס 9 צומת סגולה,NULL,"האומן 17 אזה""""ת תלפיות",מייל בירור הזמנות,פתח תקווה
50650,בוריס מטבחים,103,יחזקאל 10,NULL,רח' יחזקאל 10,נטלי מלכא,ירושלים
50422,תומי עיצובים ( לא פעיל),109,החרושת 16,NULL,החרושת 16,ת.מ.,רעננה
50219,טל- גולן שווק מוצרי בניה ותעשיה בעמ,109,ת.ד 1823,1411702,-,טל גולן ת.משלוח,טבריה
50114,ג.ע הכל לבניין בעמ,109,זבוטינסקי 88,5130803,זבוטינסקי 88,NULL,בני ברק
50116,גבריאלי משיח בעמ,109,לזרוב 27,7565432,לזרוב 27,מישל,ראשון לציון
50024,או.מ.דיזיין קרמיקה בעמ,109,ת.ד 322,6094400,הבונים 9,מייל גיול,מושב בצרה
50149,הום  סנטר יפו,114,טוליפמן 7,NULL,שד ירושלים 31,NULL,ראשון לציון
